name,price,quantity,farmer,location,state
Rice,4354,996,Farmer_1,City_43,Jharkhand
Potato,4963,830,Farmer_2,City_178,Sikkim
Banana,12922,316,Farmer_3,City_170,Uttarakhand
Potato,9905,261,Farmer_4,City_39,Kerala
Chilli,7835,782,Farmer_5,City_139,Manipur
Coffee,9184,752,Farmer_6,City_106,Arunachal Pradesh
Chilli,13021,808,Farmer_7,City_20,Assam
Barley,13163,280,Farmer_8,City_187,Tamil Nadu
Turmeric,3954,87,Farmer_9,City_38,Nagaland
Onion,3669,854,Farmer_10,City_200,Punjab
Cotton,14290,701,Farmer_11,City_119,Kerala
Chilli,4460,221,Farmer_12,City_13,Odisha
Sugarcane,3177,750,Farmer_13,City_128,Arunachal Pradesh
Onion,6141,683,Farmer_14,City_167,Manipur
Pulses,11749,322,Farmer_15,City_93,Tripura
Tea,7124,193,Farmer_16,City_2,Rajasthan
Soybean,9177,298,Farmer_17,City_12,Mizoram
Tea,8693,340,Farmer_18,City_134,Haryana
Jute,4590,373,Farmer_19,City_172,Kerala
Wheat,4684,388,Farmer_20,City_165,Madhya Pradesh
Tea,6947,488,Farmer_21,City_88,Maharashtra
Potato,12976,275,Farmer_22,City_15,Himachal Pradesh
Barley,13624,830,Farmer_23,City_96,Madhya Pradesh
Cotton,13783,584,Farmer_24,City_185,Maharashtra
Jute,1983,443,Farmer_25,City_51,Arunachal Pradesh
Onion,7824,611,Farmer_26,City_89,Goa
Coffee,6075,645,Farmer_27,City_146,Bihar
Potato,9798,812,Farmer_28,City_104,Bihar
Onion,14235,299,Farmer_29,City_17,Karnataka
Coffee,2015,674,Farmer_30,City_138,Odisha
Mustard,6664,367,Farmer_31,City_48,Mizoram
Tomato,12727,942,Farmer_32,City_164,Uttarakhand
Sugarcane,1617,565,Farmer_33,City_93,Arunachal Pradesh
Tomato,1501,782,Farmer_34,City_176,Arunachal Pradesh
Wheat,8551,430,Farmer_35,City_180,Arunachal Pradesh
Potato,10655,320,Farmer_36,City_16,Mizoram
Groundnut,14349,482,Farmer_37,City_171,Jharkhand
Soybean,5582,310,Farmer_38,City_5,Karnataka
Potato,5823,156,Farmer_39,City_111,Bihar
Pulses,6199,160,Farmer_40,City_60,Odisha
Jute,6248,653,Farmer_41,City_189,Maharashtra
Rice,12120,170,Farmer_42,City_26,Chhattisgarh
Chilli,6099,598,Farmer_43,City_101,Bihar
Tea,2270,168,Farmer_44,City_169,Kerala
Barley,9145,412,Farmer_45,City_50,Bihar
Maize,10019,689,Farmer_46,City_35,Uttar Pradesh
Jute,8323,232,Farmer_47,City_148,Kerala
Soybean,2202,637,Farmer_48,City_35,Haryana
Rice,14464,238,Farmer_49,City_17,Mizoram
Sugarcane,9741,90,Farmer_50,City_170,Telangana
Sugarcane,12217,518,Farmer_51,City_111,Meghalaya
Chilli,2749,771,Farmer_52,City_50,Kerala
Potato,7681,757,Farmer_53,City_88,West Bengal
Rice,6573,572,Farmer_54,City_34,Rajasthan
Pulses,7349,730,Farmer_55,City_189,Madhya Pradesh
Soybean,4501,367,Farmer_56,City_166,West Bengal
